keys,en,es,pt_BR,fr,de,it
permUpgradesTitle,Permanent Upgrades,Mejoras Permanentes,Melhorias permanentes,Améliorations permanentes,Dauerhafte Verbesserungen,Potenziamenti permanenti
permUpgradesDesc,Spend your XP on permanent buffs.,Gasta tu XP en mejoras permanentes.,Gaste sua XP em melhorias permanentes.,Dépensez votre XP en améliorations permanentes.,Gib deine XP für dauerhafte Verbesserungen aus.,Spendi i tuoi XP in potenziamenti permanenti.
totalXpLabel,Total XP:,XP Total:,XP total:,XP totale :,Gesamt-XP:,XP totali:
maxLevel,Max Level,Nivel Máx.,Nível máx.,Niv. max.,Max. Stufe,Liv. max.
shopTitle,Mysterious Shop,Tienda Misteriosa,Loja misteriosa,Boutique mystérieuse,Mysteriöser Laden,Negozio misterioso
shopDesc,Spend your gold on powerful items.,Gasta tu oro en objetos poderosos.,Gaste seu ouro em itens poderosos.,Dépensez votre or pour obtenir des objets puissants.,Gib dein Gold für mächtige Gegenstände aus.,Spendi il tuo oro in oggetti potenti.
owned,Owned,Adquirido,Adquirido,Acquis,Im Besitz,Acquistato
locked,Locked,Bloqueado,Bloqueado,Verrouillé,Gesperrt,Bloccato
noItemsAvailable,No items available this time.,No hay objetos disponibles esta vez.,Nenhum item disponível desta vez.,Aucun objet disponible cette fois-ci.,Diesmal sind keine Gegenstände verfügbar.,Nessun oggetto disponibile questa volta.
continueSlaying,Continue Slaying,Continuar Matando,Continuar a caça,Poursuivre la chasse,Weiterjagen,Continua la caccia
h2pTitle,How to Play,Cómo Jugar,Como jogar,Comment jouer,Spielanleitung,Come giocare
h2pDesc,A quick guide to mastering Goblin Shift.,Una guía rápida para dominar Goblin Shift.,Um guia rápido para dominar Goblin Shift.,Un guide rapide pour maîtriser Goblin Shift.,Eine kurze Anleitung für Goblin Shift.,Una breve guida per padroneggiare Goblin Shift.
h2pBasics,Basics,Fundamentos,O básico,Les bases,Grundlagen,Le basi
h2pCombat,Combat,Combate,Combate,Combat,Kampf,Combattimento
h2pPowerups,Power-ups,Objetos,Itens,Objets,Gegenstände,Oggetti
h2pProgression,Progression,Progresión,Progresso,Progression,Fortschritt,Progressione
h2pModes,Modes,Modos,Modos,Modes,Spielmodi,Modalità
h2pGotIt,Got it!,¡Entendido!,Entendi!,Compris !,Verstanden!,Capito!
basicsL1,Swipe to combine goblins of the same number.,Desliza para combinar goblins del mismo número.,Deslize para combinar goblins com o mesmo número.,Glissez pour fusionner les gobelins portant le même nombre.,"Wische, um Goblins mit derselben Zahl zu kombinieren.",Scorri per unire i goblin con lo stesso numero.
basicsL2,Each combination damages the resulting goblin (e.g. Goblin(2) + Goblin(2) → Damaged Goblin(4)).,Cada combinación daña al goblin resultante (Ej: Goblin(2) + Goblin(2) → Goblin(4) dañado).,Cada combinação causa dano ao goblin resultante (ex.: Goblin(2) + Goblin(2) → Goblin(4) ferido).,Chaque fusion blesse le gobelin obtenu (ex. : Gobelin(2) + Gobelin(2) → Gobelin(4) blessé).,Jede Kombination verletzt den entstandenen Goblin (z. B. Goblin(2) + Goblin(2) → verletzter Goblin(4)).,Ogni fusione danneggia il goblin risultante (es.: Goblin(2) + Goblin(2) → Goblin(4) ferito).
basicsL3,"Defeat goblins to earn points, gold, and experience.","Elimina goblins para ganar puntos, oro y experiencia.","Derrote goblins para ganhar pontos, ouro e experiência.","Éliminez des gobelins pour gagner des points, de l'or et de l'expérience.","Besiege Goblins, um Punkte, Gold und Erfahrung zu erhalten.","Sconfiggi i goblin per ottenere punti, oro ed esperienza."
basicsL4,"Be careful! If the board fills up and you can't move, you'll take damage.","¡Cuidado! Si el tablero se llena y no puedes mover, recibirás daño.","Cuidado! Se o tabuleiro ficar cheio e você não puder se mover, sofrerá dano.","Attention ! Si le plateau est plein et qu'aucun déplacement n'est possible, vous subissez des dégâts.","Vorsicht! Wenn das Spielfeld voll ist und kein Zug mehr möglich ist, erleidest du Schaden.","Attenzione! Se la griglia è piena e non puoi muoverti, subirai danni."
combatTitle,Combat & Goblins,Combate y Goblins,Combate e goblins,Combat et gobelins,Kampf und Goblins,Combattimento e goblin
combatL1,Goblins attack every 15 moves. Manage your health ({hp} initial HP) to survive!,Los goblins atacan cada 15 movimientos. ¡Gestiona tu vida ({hp} HP inicial) para sobrevivir!,Os goblins atacam a cada 15 movimentos. Cuide da sua vida ({hp} HP iniciais) para sobreviver!,Les gobelins attaquent tous les 15 coups. Gérez votre vie ({hp} PV au départ) pour survivre !,"Goblins greifen alle 15 Züge an. Achte auf deine Lebenspunkte ({hp} LP zu Beginn), um zu überleben!",I goblin attaccano ogni 15 mosse. Gestisci la tua salute ({hp} PV iniziali) per sopravvivere!
combatL2,"Combine goblins to create stronger, more dangerous versions:",Combina goblins para crear versiones más fuertes y peligrosas:,Combine goblins para criar versões mais fortes e perigosas:,Fusionnez les gobelins pour créer des versions plus fortes et plus dangereuses :,"Kombiniere Goblins, um stärkere und gefährlichere Varianten zu erschaffen:",Unisci i goblin per creare versioni più forti e pericolose:
combatL3,"Each time you combine, the resulting goblin takes damage. Goblins level 8 or higher will always survive the initial combination.","Cada vez que combinas, el goblin resultante recibe daño. Los goblins de nivel 8 o más siempre sobrevivirán a la combinación inicial.","A cada combinação, o goblin resultante sofre dano. Goblins de nível 8 ou superior sempre sobrevivem à combinação inicial.","À chaque fusion, le gobelin obtenu subit des dégâts. Les gobelins de niveau 8 ou plus survivent toujours à leur première fusion.",Bei jeder Kombination erleidet der entstandene Goblin Schaden. Goblins ab Stufe 8 überleben immer ihre erste Kombination.,"A ogni fusione, il goblin risultante subisce danni. I goblin di livello 8 o superiore sopravvivono sempre alla prima fusione."
powerupsTitle,Items & Power-ups,Objetos y mejoras,Itens e melhorias,Objets et améliorations,Gegenstände und Verbesserungen,Oggetti e potenziamenti
powerupsL1,Get them from the shop that appears on the board. Unlock them first in the permanent upgrades shop!,Consíguelos en la tienda que aparece en el tablero. ¡Desbloquéalos primero en la tienda de mejoras permanentes!,"Compre itens na loja que aparece no tabuleiro. Primeiro, desbloqueie-os nas melhorias permanentes!",Achetez des objets dans la boutique qui apparaît sur le plateau. Débloquez-les d'abord dans les améliorations permanentes !,"Kaufe Gegenstände im Laden, der auf dem Spielfeld erscheint. Schalte sie zuerst unter den dauerhaften Verbesserungen frei!",Acquista gli oggetti nel negozio che appare sulla griglia. Prima sbloccali nei potenziamenti permanenti!
powerupsL2,Tap a shop to enter or a chest to open it. Both expire: the number shows moves left.,Toca una tienda para entrar o un cofre para abrirlo. Ambos caducan: el número indica los movimientos restantes.,Toque em uma loja para entrar ou em um baú para abri-lo. Ambos desaparecem: o número indica os movimentos restantes.,Touchez une boutique pour y entrer ou un coffre pour l'ouvrir. Tous deux disparaissent : le nombre indique les coups restants.,"Tippe auf einen Laden, um ihn zu betreten, oder auf eine Truhe, um sie zu öffnen. Beide verschwinden: Die Zahl zeigt die verbleibenden Züge.",Tocca un negozio per entrare o un forziere per aprirlo. Entrambi scompaiono: il numero indica le mosse rimaste.
progressionTitle,Progression & Upgrades,Progresión y Mejoras,Progresso e melhorias,Progression et améliorations,Fortschritt und Verbesserungen,Progressione e potenziamenti
progressionL1,Gain Experience (XP) by defeating goblins.,Gana Experiencia (XP) al eliminar goblins.,Ganhe experiência (XP) derrotando goblins.,Gagnez de l'expérience (XP) en éliminant des gobelins.,"Sammle Erfahrung (XP), indem du Goblins besiegst.",Ottieni esperienza (XP) sconfiggendo i goblin.
progressionL2,Use XP on the home screen to buy permanent upgrades that will help you in all your runs.,Usa la XP en la pantalla de inicio para comprar mejoras permanentes que te ayudarán en todas tus partidas.,Use XP na tela inicial para comprar melhorias permanentes que ajudam em todas as partidas.,"Sur l'écran d'accueil, dépensez votre XP en améliorations permanentes utiles dans toutes vos parties.","Kaufe im Hauptmenü mit XP dauerhafte Verbesserungen, die dir in jedem Durchgang helfen.",Usa gli XP nella schermata iniziale per acquistare potenziamenti permanenti utili in ogni partita.
progressionL3,Unlock new and powerful items to appear in the in-game shop.,Desbloquea nuevos y poderosos objetos para que aparezcan en la tienda del juego.,Desbloqueie novos itens poderosos para que apareçam na loja durante a partida.,Débloquez de nouveaux objets puissants pour les faire apparaître dans la boutique en cours de partie.,"Schalte neue mächtige Gegenstände frei, damit sie im Laden während des Spiels erscheinen.",Sblocca nuovi oggetti potenti per farli apparire nel negozio durante la partita.
progressionL4,Every upgrade gets you closer to victory!,¡Cada mejora te acerca más a la victoria!,Cada melhoria aproxima você da vitória!,Chaque amélioration vous rapproche de la victoire !,Jede Verbesserung bringt dich dem Sieg näher!,Ogni potenziamento ti avvicina alla vittoria!
modesTitle,Game Modes,Modos de Juego,Modos de jogo,Modes de jeu,Spielmodi,Modalità di gioco
modesL1,Story Mode — merge your way to Goblin(256) and slay the Goblin Lord.,Modo Historia — combina hasta crear un Goblin(256) y derrota al Señor Goblin.,Modo História — combine até criar um Goblin(256) e derrote o Lorde Goblin.,Mode Histoire — fusionnez jusqu'à créer un Gobelin(256) et vaincre le Seigneur gobelin.,Story-Modus — kombiniere bis zum Goblin(256) und besiege den Goblinfürsten.,Modalità Storia — unisci fino a creare un Goblin(256) e sconfiggi il Signore dei Goblin.
modesL2,"Endless Mode — no victory, just survival. How long can you last?","Modo Infinito — sin victoria, solo supervivencia. ¿Cuánto aguantas?",Modo Infinito — o objetivo é sobreviver. Quanto tempo você consegue durar?,Mode Infini — votre seul objectif est de survivre. Combien de temps tiendrez-vous ?,Endlosmodus — hier zählt nur das Überleben. Wie lange hältst du durch?,Modalità Infinita — l'unico obiettivo è sopravvivere. Quanto resisterai?
storyModeTitle,Story Mode,Modo Historia,Modo História,Mode Histoire,Story-Modus,Modalità Storia
endlessModeTitle,Endless Mode,Modo Infinito,Modo Infinito,Mode Infini,Endlosmodus,Modalità Infinita
healthPotion_name,Health Potion,Poción de Vida,Poção de vida,Potion de soin,Heiltrank,Pozione curativa
healthPotion_desc,+5 HP,+5 HP,+5 HP,+5 PV,+5 LP,+5 PV
torch_name,Torch,Antorcha,Tocha,Torche,Fackel,Torcia
torch_desc,Reveals HP of goblins,Revela los HP de los goblins,Revela o HP dos goblins,Révèle les PV des gobelins,Zeigt die LP der Goblins,Rivela i PV dei goblin
sword_name,Sword,Espada,Espada,Épée,Schwert,Spada
sword_desc,+1 damage on combines,+1 de daño en combos,+1 de dano ao combinar,+1 dégât lors des fusions,+1 Schaden beim Kombinieren,+1 danno nelle fusioni
shield_name,Shield,Escudo,Escudo,Bouclier,Schild,Scudo
shield_desc,Reduce damage taken by 1,Reduce el daño recibido en 1,Reduz o dano sofrido em 1,Réduit les dégâts subis de 1,Verringert erlittenen Schaden um 1,Riduce di 1 i danni subiti
poison_name,Poison,Veneno,Veneno,Poison,Gift,Veleno
poison_desc,Combos apply poison,Los combos aplican veneno,Combinações aplicam veneno,Les fusions empoisonnent,Kombinationen vergiften Goblins,Le fusioni applicano veleno
rope_name,Rope,Cuerda,Corda,Corde,Seil,Corda
rope_desc,Move a goblin freely (1 use),Mueve un goblin libremente (1 uso),Mova um goblin livremente (1 uso),Déplacez librement un gobelin (1 usage),Verschiebe einen Goblin frei (1 Einsatz),Sposta liberamente un goblin (1 uso)
fireScroll_name,Fire Scroll,Pergamino de Fuego,Pergaminho de fogo,Parchemin de feu,Feuerrolle,Pergamena di fuoco
fireScroll_desc,Combos cause splash damage,Los combos causan daño en área,Combinações causam dano em área,Les fusions infligent des dégâts de zone,Kombinationen verursachen Flächenschaden,Le fusioni causano danni ad area
maxHp_name,Fortitude,Fortaleza,Fortitude,Robustesse,Zähigkeit,Vigore
maxHp_desc,Increases max player HP by +5.,Aumenta los HP máximos en +5.,Aumenta sua vida máxima em 5 HP.,Augmente votre vie maximale de 5 PV.,Erhöht deine maximalen Lebenspunkte um 5 LP.,Aumenta di 5 PV la tua salute massima.
baseDamage_name,Sharpened Blade,Hoja Afilada,Lâmina afiada,Lame aiguisée,Scharfe Klinge,Lama affilata
baseDamage_desc,+1 base damage on combinations.,+1 de daño base en combinaciones.,+1 de dano base nas combinações.,+1 dégât de base lors des fusions.,+1 Grundschaden bei Kombinationen.,+1 danno base nelle fusioni.
powerupFreq_name,Lucky Charm,Amuleto de la Suerte,Amuleto da sorte,Porte-bonheur,Glücksbringer,Portafortuna
powerupFreq_desc,+15% chance for slain goblins to drop bonus gold.,+15% de probabilidad de que los goblins suelten oro extra.,+15% de chance de goblins derrotados deixarem ouro extra.,+15 % de chances qu'un gobelin vaincu laisse de l'or bonus.,+15 % Chance auf zusätzliches Gold von besiegten Goblins.,+15% di probabilità che i goblin sconfitti lascino oro extra.
attackTimer_name,Vigilance,Vigilancia,Vigilância,Vigilance,Wachsamkeit,Vigilanza
attackTimer_desc,+2 moves before horde attacks.,+2 movimientos antes del ataque de la horda.,+2 movimentos antes do ataque da horda.,+2 coups avant l'attaque de la horde.,+2 Züge bis zum Angriff der Horde.,+2 mosse prima dell'attacco dell'orda.
xpBonus_name,Wisdom,Sabiduría,Sabedoria,Sagesse,Weisheit,Saggezza
xpBonus_desc,Permanently gain +25% XP from kills.,Gana permanentemente +25% de XP.,Ganhe permanentemente +25% de XP por abates.,Gagnez en permanence +25 % d'XP par élimination.,Dauerhaft +25 % XP für besiegte Goblins.,Ottieni permanentemente +25% di XP dalle uccisioni.
startGold_name,Deep Pockets,Bolsillos Profundos,Bolsos fundos,Poches profondes,Tiefe Taschen,Tasche profonde
startGold_desc,Start runs with +100 gold.,Empieza las partidas con +100 de oro.,Comece as partidas com +100 de ouro.,Commencez vos parties avec +100 pièces d'or.,Beginne jeden Durchgang mit +100 Gold.,Inizia le partite con +100 oro.
overcrowdingResist_name,Thick Skin,Piel Gruesa,Pele grossa,Peau épaisse,Dicke Haut,Pelle dura
overcrowdingResist_desc,Reduces damage from being crushed by 1.,Reduce el daño por aplastamiento en 1.,Reduz o dano por superlotação em 1.,Réduit les dégâts d'écrasement de 1.,Verringert Schaden durch ein volles Spielfeld um 1.,Riduce di 1 i danni da schiacciamento.
unlockSword_name,Unlock: Sword,Desbloquear: Espada,Desbloquear: Espada,Débloquer : Épée,Freischalten: Schwert,Sblocca: Spada
unlockSword_desc,Unlocks the Sword in the shop.,Desbloquea la Espada en la tienda.,Desbloqueia a espada na loja.,Débloque l'épée dans la boutique.,Schaltet das Schwert im Laden frei.,Sblocca la spada nel negozio.
unlockTorch_name,Unlock: Torch,Desbloquear: Antorcha,Desbloquear: Tocha,Débloquer : Torche,Freischalten: Fackel,Sblocca: Torcia
unlockTorch_desc,Unlocks the Torch in the shop.,Desbloquea la Antorcha en la tienda.,Desbloqueia a tocha na loja.,Débloque la torche dans la boutique.,Schaltet die Fackel im Laden frei.,Sblocca la torcia nel negozio.
unlockShield_name,Unlock: Shield,Desbloquear: Escudo,Desbloquear: Escudo,Débloquer : Bouclier,Freischalten: Schild,Sblocca: Scudo
unlockShield_desc,Unlocks the Shield in the shop.,Desbloquea el Escudo en la tienda.,Desbloqueia o escudo na loja.,Débloque le bouclier dans la boutique.,Schaltet den Schild im Laden frei.,Sblocca lo scudo nel negozio.
unlockHealthPotion_name,Unlock: Health Potion,Desbloquear: Poción,Desbloquear: Poção,Débloquer : Potion,Freischalten: Heiltrank,Sblocca: Pozione
unlockHealthPotion_desc,Unlocks the Health Potion in the shop.,Desbloquea la Poción de Vida en la tienda.,Desbloqueia a poção de vida na loja.,Débloque la potion de soin dans la boutique.,Schaltet den Heiltrank im Laden frei.,Sblocca la pozione curativa nel negozio.
unlockPoison_name,Unlock: Poison,Desbloquear: Veneno,Desbloquear: Veneno,Débloquer : Poison,Freischalten: Gift,Sblocca: Veleno
unlockPoison_desc,Unlocks Poison in the shop.,Desbloquea el Veneno en la tienda.,Desbloqueia o veneno na loja.,Débloque le poison dans la boutique.,Schaltet das Gift im Laden frei.,Sblocca il veleno nel negozio.
unlockRope_name,Unlock: Rope,Desbloquear: Cuerda,Desbloquear: Corda,Débloquer : Corde,Freischalten: Seil,Sblocca: Corda
unlockRope_desc,Unlocks the Rope in the shop.,Desbloquea la Cuerda en la tienda.,Desbloqueia a corda na loja.,Débloque la corde dans la boutique.,Schaltet das Seil im Laden frei.,Sblocca la corda nel negozio.
unlockFireScroll_name,Unlock: Fire Scroll,Desbloquear: Pergamino,Desbloquear: Pergaminho,Débloquer : Parchemin,Freischalten: Feuerrolle,Sblocca: Pergamena
unlockFireScroll_desc,Unlocks the Fire Scroll in the shop.,Desbloquea el Pergamino de Fuego en la tienda.,Desbloqueia o pergaminho de fogo na loja.,Débloque le parchemin de feu dans la boutique.,Schaltet die Feuerrolle im Laden frei.,Sblocca la pergamena di fuoco nel negozio.
log_chest_appeared,A treasure chest appeared! Tap it before it vanishes.,¡Apareció un cofre! Tócalo antes de que desaparezca.,Um baú apareceu! Toque nele antes que desapareça.,Un coffre est apparu ! Touchez-le avant qu'il ne disparaisse.,"Eine Schatztruhe ist erschienen! Tippe sie an, bevor sie verschwindet.",È apparso un forziere! Toccalo prima che scompaia.
log_continued,Run resumed. The hunt continues!,Partida reanudada. ¡La caza continúa!,Partida retomada. A caça continua!,Partie reprise. La chasse continue !,Durchgang fortgesetzt. Die Jagd geht weiter!,Partita ripresa. La caccia continua!
log_new_goblin,A new Lv.{value} goblin appeared.,Apareció un nuevo goblin de Nv.{value}.,Um novo goblin de Nv.{value} apareceu.,Un nouveau gobelin de niv.{value} est apparu.,Ein neuer Goblin der Stufe {value} ist erschienen.,È apparso un nuovo goblin di liv.{value}.
log_game_start,"Game started: {gameMode}. Good luck, slayer.","Juego iniciado: {gameMode}. ¡Buena suerte, cazador!","Partida iniciada: {gameMode}. Boa sorte, caçador.",Début de partie : {gameMode}. Bonne chasse !,Spiel gestartet: {gameMode}. Gute Jagd!,Partita iniziata: {gameMode}. Buona caccia!
log_chest_opened,You opened a chest! +{gold} gold.,¡Abriste un cofre! +{gold} de oro.,Você abriu um baú! +{gold} de ouro.,Vous avez ouvert un coffre ! +{gold} pièces d'or.,Du hast eine Truhe geöffnet! +{gold} Gold.,Hai aperto un forziere! +{gold} oro.
log_shop_appeared,A mysterious shop appeared! Tap it to enter.,¡Ha aparecido una tienda! Tócala para entrar.,Uma loja misteriosa apareceu! Toque nela para entrar.,Une boutique mystérieuse est apparue ! Touchez-la pour entrer.,"Ein mysteriöser Laden ist erschienen! Tippe darauf, um einzutreten.",È apparso un negozio misterioso! Toccalo per entrare.
log_no_room_for_shop,No room for a shop to appear!,¡No hay espacio para que aparezca una tienda!,Não há espaço para uma loja aparecer!,Pas de place pour une boutique !,Kein Platz für einen Laden!,Non c'è spazio per un negozio!
log_shop_disappeared,The shop disappeared before you could visit.,La tienda desapareció antes de que pudieras visitarla.,A loja desapareceu antes da sua visita.,La boutique a disparu avant votre visite.,Der Laden ist vor deinem Besuch verschwunden.,Il negozio è scomparso prima della tua visita.
log_goblin_combine_damage,Merged two Lv.{value} goblins — {damage} damage.,Fusionaste dos goblins Nv.{value} — {damage} de daño.,Dois goblins de Nv.{value} combinados — {damage} de dano.,Deux gobelins de niv.{value} fusionnés — {damage} dégâts.,Zwei Goblins der Stufe {value} kombiniert — {damage} Schaden.,Uniti due goblin di liv.{value} — {damage} danni.
log_goblin_slain,"The Lv.{value} goblin was slain! +{score} score, +{gold} gold.","¡El goblin de Nv.{value} fue eliminado! +{score} puntos, +{gold} de oro.","Goblin de Nv.{value} derrotado! +{score} pontos, +{gold} de ouro.","Gobelin de niv.{value} vaincu ! +{score} points, +{gold} pièces d'or.","Goblin der Stufe {value} besiegt! +{score} Punkte, +{gold} Gold.","Goblin di liv.{value} sconfitto! +{score} punti, +{gold} oro."
log_goblin_drop,A slain goblin dropped {gold} gold!,¡Un goblin eliminado dejó caer {gold} de oro!,Um goblin derrotado deixou {gold} de ouro!,Un gobelin vaincu a laissé {gold} pièces d'or !,Ein besiegter Goblin hat {gold} Gold hinterlassen!,Un goblin sconfitto ha lasciato {gold} oro!
log_goblin_survived,A Lv.{value} goblin survived with {hp} HP.,Un goblin de Nv.{value} sobrevivió con {hp} HP.,Um goblin de Nv.{value} sobreviveu com {hp} HP.,Un gobelin de niv.{value} a survécu avec {hp} PV.,Ein Goblin der Stufe {value} hat mit {hp} LP überlebt.,Un goblin di liv.{value} è sopravvissuto con {hp} PV.
log_goblin_poisoned,The Lv.{value} goblin was poisoned!,¡El goblin de Nv.{value} fue envenenado!,O goblin de Nv.{value} foi envenenado!,Le gobelin de niv.{value} a été empoisonné !,Der Goblin der Stufe {value} wurde vergiftet!,Il goblin di liv.{value} è stato avvelenato!
log_milestone,Milestone reached! Created Lv.{value} goblin! +{gold} Gold.,¡Hito alcanzado! ¡Creado goblin de Nv.{value}! +{gold} de oro.,Marco alcançado! Goblin de Nv.{value} criado! +{gold} de ouro.,Palier atteint ! Gobelin de niv.{value} créé ! +{gold} pièces d'or.,Meilenstein erreicht! Goblin der Stufe {value} erschaffen! +{gold} Gold.,Traguardo raggiunto! Creato un goblin di liv.{value}! +{gold} oro.
log_poison_damage,Lv.{value} goblin took 1 poison damage.,El goblin de Nv.{value} recibió 1 de daño por veneno.,O goblin de Nv.{value} sofreu 1 de dano de veneno.,Le gobelin de niv.{value} subit 1 dégât de poison.,Der Goblin der Stufe {value} erleidet 1 Giftschaden.,Il goblin di liv.{value} subisce 1 danno da veleno.
log_poison_death,Lv.{value} goblin succumbed to poison!,¡El goblin de Nv.{value} sucumbió al veneno!,O goblin de Nv.{value} morreu envenenado!,Le gobelin de niv.{value} a succombé au poison !,Der Goblin der Stufe {value} ist am Gift gestorben!,Il goblin di liv.{value} è morto avvelenato!
log_fire_scroll_trigger,Fire scroll triggers splash damage!,¡El pergamino de fuego activa daño en área!,O pergaminho de fogo causa dano em área!,Le parchemin de feu inflige des dégâts de zone !,Die Feuerrolle löst Flächenschaden aus!,La pergamena di fuoco scatena danni ad area!
log_splash_damage,Lv.{value} goblin took 1 splash damage.,El goblin de Nv.{value} recibió 1 de daño en área.,O goblin de Nv.{value} sofreu 1 de dano em área.,Le gobelin de niv.{value} subit 1 dégât de zone.,Der Goblin der Stufe {value} erleidet 1 Flächenschaden.,Il goblin di liv.{value} subisce 1 danno ad area.
